"","V1","V2"
"4345",1374051360,60.1
"4335",1374054780,59
"4334",1374054960,59
"4332",1374058560,59
"4330",1374062160,59
"4328",1374065760,57.9
"4326",1374069360,57.9
"4324",1374072960,57.9
"4322",1374076560,59
"4320",1374080160,60.1
"4342",1374083760,60.1
"4340",1374087360,61
"4338",1374089760,64.4
"4336",1374090960,64.9
"4344",1374094560,66
"4333",1374098160,66
"4331",1374101760,64.9
"4329",1374105360,64
"4327",1374108960,62.1
"4325",1374112560,59
"4323",1374116160,57
"4321",1374119760,55.9
"4319",1374123360,55
"4343",1374125580,55.4
"4341",1374126960,55
"4339",1374130560,55
"4312",1374134160,55
"4318",1374137760,55
"4310",1374141360,55
"4308",1374144960,55
"4306",1374148560,55
"4304",1374152160,55
"4302",1374155760,55
"4300",1374159360,55
"4298",1374162960,57
"4296",1374165780,60.8
"4295",1374166560,59
"4316",1374170160,62.1
"4314",1374173760,66
"4311",1374177360,66
"4317",1374180960,66
"4309",1374184560,66.9
"4307",1374188160,66
"4305",1374191760,64
"4303",1374195360,62.1
"4301",1374198960,57.9
"4299",1374202560,55.9
"4297",1374206160,55
"4294",1374209760,55
"4315",1374213360,55
"4313",1374216960,55
"4287",1374220560,55
"4293",1374224160,55
"4285",1374227760,54
"4283",1374231360,55
"4281",1374233460,53.6
"4280",1374234960,55
"4278",1374237300,53.6
"4277",1374238560,54
"4275",1374242160,55
"4273",1374245760,57
"4271",1374249360,60.1
"4269",1374252960,62.1
"4291",1374256560,63
"4289",1374260160,64.9
"4286",1374263760,66.9
"4292",1374267360,66.9
"4284",1374270960,66.9
"4282",1374274560,64
"4279",1374278160,64
"4276",1374281760,61
"4274",1374285360,57.9
"4272",1374288960,55.9
"4270",1374292560,55
"4268",1374296160,54
"4290",1374299760,54
"4288",1374303360,54
"4261",1374306960,54
"4267",1374310560,54
"4259",1374311640,53.6
"4258",1374314160,54
"4256",1374317760,55
"4254",1374321360,54
"4252",1374324960,54
"4250",1374328560,54
"4248",1374332160,55
"4246",1374335760,57.9
"4244",1374339360,61
"4265",1374342960,63
"4263",1374346560,63
"4260",1374350160,64.9
"4266",1374353760,68
"4257",1374357360,69.1
"4255",1374360960,64.9
"4253",1374364560,63
"4251",1374368160,61
"4249",1374371760,57.9
"4247",1374375360,55.9
"4245",1374378960,55
"4243",1374382560,55
"4264",1374386160,55
"4262",1374389760,55
"4236",1374393360,54
"4242",1374396960,54
"4234",1374399480,53.6
"4233",1374400560,55
"4231",1374404160,55
"4229",1374407760,55
"4227",1374411360,55
"4225",1374414960,55
"4223",1374418560,57
"4221",1374422160,59
"4219",1374424560,60.8
"4218",1374425760,61
"4240",1374429360,63
"4238",1374432960,64.9
"4235",1374436560,66
"4241",1374440160,68
"4232",1374443760,66.9
"4230",1374447360,64.9
"4228",1374450960,64
"4226",1374454560,63
"4224",1374458160,63
"4222",1374461760,60.1
"4220",1374465360,57.9
"4217",1374468960,57.9
"4239",1374472560,57
"4237",1374476160,57
"4210",1374479760,57
"4216",1374483360,57
"4208",1374486960,57
"4206",1374490560,57
"4204",1374494160,57.9
"4202",1374494580,57.2
"4201",1374497760,57.9
"4199",1374501360,59
"4197",1374504960,60.1
"4195",1374508560,62.1
"4193",1374512160,63
"4214",1374515760,64.9
"4212",1374519360,66
"4209",1374522960,66
"4215",1374526560,68
"4207",1374530160,69.1
"4205",1374533760,71.1
"4203",1374537360,66.9
"4200",1374540960,66.9
"4198",1374544560,66.9
"4196",1374548160,63
"4194",1374551760,60.1
"4192",1374555360,60.1
"4213",1374558960,60.1
"4211",1374562560,59
"4185",1374563640,59
"4184",1374566160,57.9
"4191",1374569760,57.9
"4182",1374573360,59
"4180",1374576960,59
"4178",1374580560,59
"4176",1374584160,59
"4174",1374587760,57.9
"4172",1374591360,61
"4170",1374594960,66
"4168",1374598560,66
"4189",1374602160,66
"4187",1374605760,66
"4183",1374609360,68
"4190",1374612960,66
"4181",1374616560,68
"4179",1374620160,68
"4177",1374623760,68
"4175",1374627360,64.9
"4173",1374630960,63
"4171",1374634560,61
"4169",1374638160,59
"4167",1374641760,57.9
"4188",1374645360,57.9
"4186",1374648960,57
"4160",1374652560,55.9
"4166",1374656160,55.9
"4158",1374659760,57
"4156",1374663360,55.9
"4154",1374666960,57
"4152",1374670560,55.9
"4150",1374674160,55.9
"4148",1374677760,59
"4146",1374681360,62.1
"4144",1374684960,66
"4164",1374688560,69.1
"4162",1374692160,68
"4159",1374695760,69.1
"4165",1374699360,70
"4157",1374702960,70
"4155",1374706560,68
"4153",1374710160,66
"4151",1374713760,64.9
"4149",1374717360,64
"4147",1374720960,59
"4145",1374724560,57
"4143",1374728160,57
"4163",1374731760,57
"4161",1374735360,55.9
"4136",1374738960,55
"4142",1374742560,54
"4134",1374746160,54
"4132",1374749760,54
"4130",1374753360,54
"4128",1374756960,54
"4126",1374760560,55
"4124",1374764160,57
"4122",1374767760,59
"4120",1374771360,61
"4140",1374774960,62.1
"4138",1374778560,64
"4135",1374782160,66
"4141",1374785760,66.9
"4133",1374789360,66.9
"4131",1374792960,66.9
"4129",1374796560,64
"4127",1374800160,63
"4125",1374803760,60.1
"4123",1374807360,57.9
"4121",1374810960,57
"4119",1374814560,55.9
"4139",1374818160,55.9
"4137",1374821760,55.9
"4112",1374825360,55
"4118",1374828960,55
"4110",1374832560,55
"4108",1374835320,55.4
"4107",1374836160,55.9
"4105",1374839760,55.9
"4103",1374841980,55.4
"4102",1374843360,55
"4100",1374845760,55.4
"4099",1374846960,55.9
"4097",1374849060,55.4
"4096",1374850560,57
"4094",1374854160,60.1
"4092",1374854820,60.8
"4091",1374857760,62.1
"4116",1374861360,64.9
"4114",1374864960,66.9
"4111",1374868560,66.9
"4117",1374872160,66.9
"4109",1374875760,66
"4106",1374879360,64.9
"4104",1374882960,64.9
"4101",1374886560,63
"4098",1374890160,61
"4095",1374893760,59
"4093",1374897360,57.9
"4090",1374900960,57
"4115",1374904560,57
"4113",1374908160,57
"4083",1374911520,57.2
"4082",1374911760,55.9
"4089",1374915360,55.9
"4080",1374918960,55.9
"4078",1374921060,57.2
"4077",1374922560,55.9
"4075",1374925980,55.4
"4074",1374926160,55.9
"4072",1374929760,55.9
"4070",1374933360,57.9
"4068",1374936960,57.9
"4066",1374940560,60.1
"4064",1374941400,62.6
"4063",1374944160,63
"4087",1374947760,64
"4085",1374951360,66
"4081",1374954960,66.9
"4088",1374958560,68
"4079",1374962160,69.1
"4076",1374965760,66.9
"4073",1374969360,66
"4071",1374972960,64.9
"4069",1374976560,62.1
"4067",1374980160,59
"4065",1374983760,57
"4062",1374987360,57
"4086",1374990960,57
"4084",1374994560,57
"4055",1374998160,57
"4061",1375001760,55.9
"4053",1375003140,57.2
"4052",1375005360,57
"4050",1375008960,57
"4048",1375012560,57
"4046",1375016160,57
"4044",1375019760,57
"4042",1375022460,57.2
"4041",1375023360,57.9
"4039",1375026960,61
"4037",1375030560,63
"4059",1375034160,64
"4057",1375037760,66
"4054",1375041360,66
"4060",1375044960,68
"4051",1375048560,70
"4049",1375052160,70
"4047",1375055760,69.1
"4045",1375059360,64
"4043",1375062960,63
"4040",1375066560,59
"4038",1375070160,57.9
"4036",1375073760,57.9
"4058",1375077360,57
"4056",1375080960,57.9
"4028",1375084560,57
"4035",1375088160,57
"4026",1375091760,57
"4024",1375095360,57
"4022",1375098960,55.9
"4020",1375102560,55.9
"4018",1375106160,57
"4016",1375109760,59
"4014",1375113360,61
"4012",1375116960,63
"4033",1375117440,62.6
"4032",1375120560,64
"4030",1375124160,64.9
"4027",1375127760,69.1
"4034",1375131360,68
"4025",1375134960,68
"4023",1375138560,68
"4021",1375142160,66.9
"4019",1375145760,64
"4017",1375149360,62.1
"4015",1375152960,61
"4013",1375156560,60.1
"4011",1375160160,59
"4031",1375163760,59
"4029",1375167360,57.9
"4003",1375170960,57.9
"4010",1375174560,57
"4001",1375178160,57
"3999",1375178580,57.2
"3998",1375181760,57
"3996",1375185360,55.9
"3994",1375188960,55.9
"3992",1375192560,57.9
"3990",1375196160,57.9
"3988",1375199760,60.1
"3986",1375203360,62.1
"4008",1375203840,62.6
"4007",1375206960,64
"4005",1375210560,66
"4002",1375214160,66.9
"4009",1375217760,66
"4000",1375221360,66.9
"3997",1375224960,66
"3995",1375228560,64.9
"3993",1375232160,63
"3991",1375235760,61
"3989",1375239360,59
"3987",1375242960,57.9
"3985",1375246560,57
"4006",1375250160,55.9
"4004",1375253760,55.9
"3977",1375257360,55.9
"3984",1375260960,55
"3975",1375264560,55
"3973",1375268160,55
"3971",1375271760,55
"3969",1375275360,55
"3967",1375278960,55.9
"3965",1375282560,57
"3963",1375286160,62.1
"3961",1375289760,62.1
"3982",1375293360,64.9
"3980",1375296960,68
"3978",1375298580,66.2
"3976",1375300560,68
"3983",1375304160,66.9
"3974",1375307760,66.9
"3972",1375311360,66
"3970",1375314960,64
"3968",1375318560,64
"3966",1375322160,62.1
"3964",1375325760,60.1
"3962",1375329360,59
"3960",1375332960,59
"3981",1375336560,57.9
"3979",1375340160,57.9
"3950",1375343760,57
"3959",1375345620,57.2
"3958",1375346460,57.2
"3957",1375347360,57
"3948",1375350960,55.9
"3946",1375354560,55.9
"3944",1375355820,55.4
"3943",1375358160,55.9
"3941",1375359300,55.4
"3940",1375361760,57
"3938",1375365360,57
"3936",1375366740,57.2
"3935",1375368960,57.9
"3933",1375372560,59
"3930",1375376160,61
"3954",1375379760,62.1
"3952",1375383360,64.9
"3949",1375386960,64.9
"3956",1375390560,66
"3947",1375394160,66
"3945",1375397760,64.9
"3942",1375401360,64.9
"3939",1375404960,64
"3937",1375408560,62.1
"3934",1375412160,59
"3932",1375415760,59
"3931",1375418580,57.2
"3929",1375419360,57.9
"3955",1375421940,57.2
"3953",1375422960,57.9
"3951",1375426560,57
"3922",1375430160,55.9
"3928",1375433760,55.9
"3920",1375436760,55.4
"3919",1375437360,55
"3917",1375440960,55
"3915",1375444560,54
"3913",1375448160,53.1
"3911",1375449060,53.6
"3910",1375451760,54
"3908",1375455360,57
"3906",1375458960,59
"3904",1375462560,60.1
"3926",1375466160,63
"3924",1375469760,66.9
"3921",1375473360,66
"3927",1375476960,66.9
"3918",1375480560,66
"3916",1375484160,64
"3914",1375487760,63
"3912",1375491360,62.1
"3909",1375494960,60.1
"3907",1375498560,57.9
"3905",1375502160,57
"3903",1375505760,57
"3925",1375509360,57
"3923",1375512960,55.9
"3895",1375516560,55.9
"3902",1375520160,55.9
"3893",1375523760,55.9
"3891",1375527360,55
"3889",1375530960,54
"3887",1375533180,55.4
"3886",1375534560,55
"3884",1375538160,55.9
"3882",1375541760,57
"3880",1375545360,57.9
"3878",1375548960,61
"3900",1375551180,60.8
"3899",1375552560,63
"3897",1375556160,64.9
"3894",1375559760,64.9
"3901",1375563360,68
"3892",1375566960,69.1
"3890",1375570560,69.1
"3888",1375574160,66
"3885",1375577760,64.9
"3883",1375581360,62.1
"3881",1375584960,57
"3879",1375588560,55.9
"3877",1375592160,54
"3898",1375595760,54
"3896",1375599360,54
"3869",1375602960,55
"3876",1375606560,55
"3867",1375610160,55
"3865",1375613760,55
"3863",1375615620,55.4
"3862",1375617360,55.9
"3860",1375620960,55
"3857",1375624560,55.9
"3855",1375628160,55.9
"3853",1375631760,57.9
"3851",1375635360,60.1
"3874",1375638180,60.8
"3873",1375638960,61
"3871",1375642560,63
"3868",1375646160,64.9
"3875",1375649760,64.9
"3866",1375653360,66
"3864",1375656960,64.9
"3861",1375660560,63
"3859",1375664160,61
"3858",1375666320,59
"3856",1375667760,59
"3854",1375671360,57.9
"3852",1375674960,57.9
"3850",1375678560,57.9
"3872",1375682160,57
"3870",1375685760,57
"3843",1375689360,57
"3849",1375692960,57
"3841",1375693380,57.2
"3840",1375694400,57.2
"3839",1375696560,57
"3837",1375696980,57.2
"3836",1375700160,55.9
"3834",1375703760,57
"3832",1375707360,57
"3830",1375710960,55.9
"3828",1375714560,57
"3825",1375718160,57
"3822",1375721760,59
"3847",1375725360,61
"3845",1375728960,63
"3842",1375732560,64
"3848",1375736160,66
"3838",1375739760,64
"3835",1375743360,63
"3833",1375746960,62.1
"3831",1375750560,61
"3829",1375754160,57.9
"3827",1375757760,57
"3826",1375758480,57.2
"3824",1375761360,55.9
"3823",1375763160,55.4
"3821",1375764960,55.9
"3846",1375768560,55.9
"3844",1375772160,55.9
"3813",1375775760,55
"3820",1375779360,55.9
"3811",1375782960,55.9
"3809",1375786560,55.9
"3807",1375790160,55.9
"3805",1375793760,55.9
"3803",1375797360,55.9
"3801",1375800960,55.9
"3799",1375804560,57
"3796",1375808160,57.9
"3817",1375811760,61
"3815",1375815360,62.1
"3812",1375818960,66.9
"3819",1375822560,68
"3810",1375826160,68
"3808",1375829760,66
"3806",1375833360,64
"3804",1375836960,64
"3802",1375840560,62.1
"3800",1375844160,61
"3798",1375847760,60.1
"3797",1375850760,60.8
"3795",1375851360,61
"3818",1375853220,60.8
"3816",1375854960,60.1
"3814",1375858560,60.1
"3785",1375862160,60.1
"3794",1375865220,59
"3793",1375865760,59
"3783",1375869360,57.9
"3781",1375872960,57.9
"3779",1375876560,57.9
"3777",1375880160,57
"3775",1375883760,59
"3773",1375887360,59
"3771",1375890960,60.1
"3768",1375894560,61
"3791",1375898160,62.1
"3787",1375901760,64
"3784",1375905360,66.9
"3792",1375908960,66.9
"3782",1375912560,70
"3780",1375916160,69.1
"3778",1375919760,68
"3776",1375923360,64.9
"3774",1375926960,64
"3772",1375930560,63
"3770",1375934160,61
"3769",1375935180,60.8
"3767",1375937760,60.1
"3790",1375941360,60.1
"3789",1375941780,60.8
"3788",1375944420,60.8
"3786",1375944960,59
"3760",1375948560,59
"3766",1375952160,59
"3757",1375955760,60.1
"3755",1375959360,59
"3753",1375962420,59
"3752",1375962960,59
"3749",1375966560,59
"3746",1375970160,59
"3744",1375973760,60.1
"3742",1375977360,61
"3740",1375980960,63
"3764",1375984560,63
"3762",1375988160,64.9
"3759",1375991760,64.9
"3765",1375995360,66.9
"3758",1375998000,64.4
"3756",1375998960,66.9
"3754",1376002560,66
"3751",1376006160,63
"3750",1376008980,62.6
"3748",1376009760,61
"3747",1376010660,60.8
"3745",1376013360,60.1
"3743",1376016960,59
"3741",1376020560,57.9
"3739",1376024160,57
"3763",1376027760,57
"3761",1376031360,55.9
"3731",1376034960,55.9
"3737",1376038560,55.9
"3729",1376042160,55.9
"3727",1376045640,55.4
"3726",1376045760,55.9
"3724",1376049360,57
"3722",1376052960,55.9
"3720",1376056380,55.4
"3719",1376056560,57
"3717",1376060160,57
"3713",1376063760,57.9
"3711",1376067360,61
"3735",1376070960,61
"3733",1376074560,63
"3730",1376078160,64.9
"3738",1376081040,68
"3736",1376081760,66.9
"3728",1376085360,69.1
"3725",1376088960,70
"3723",1376092560,68
"3721",1376096160,64
"3718",1376099760,62.1
"3716",1376103360,61
"3715",1376104320,60.8
"3714",1376105340,60.8
"3712",1376106960,60.1
"3710",1376110560,60.1
"3734",1376114160,57.9
"3732",1376117760,57.9
"3702",1376121360,57.9
"3709",1376124960,57.9
"3700",1376125380,57.2
"3699",1376128560,59
"3697",1376132160,59
"3695",1376132640,59
"3694",1376134500,57.2
"3692",1376135760,57.9
"3690",1376139360,57.9
"3687",1376142960,59
"3685",1376146560,57.9
"3683",1376147640,57.2
"3681",1376150160,59
"3679",1376152500,60.8
"3678",1376153760,61
"3707",1376157360,64
"3705",1376159520,64.4
"3704",1376160960,64.9
"3701",1376164560,68
"3708",1376168160,69.1
"3698",1376171760,70
"3696",1376175360,68
"3693",1376178360,66.2
"3691",1376178960,64.9
"3689",1376182560,64
"3688",1376185020,60.8
"3686",1376186160,61
"3684",1376189760,61
"3682",1376192580,60.8
"3680",1376193360,60.1
"3677",1376196960,59
"3706",1376200560,60.1
"3703",1376204160,59
"3668",1376207760,57.9
"3676",1376211360,57.9
"3666",1376214960,57.9
"3664",1376218560,57
"3662",1376222160,57
"3660",1376225760,57
"3658",1376228100,57.2
"3657",1376229360,57
"3655",1376230020,57.2
"3654",1376232960,57
"3652",1376236560,57
"3650",1376240160,57.9
"3674",1376243760,59
"3672",1376246700,60.8
"3671",1376247360,62.1
"3669",1376248260,62.6
"3667",1376250960,64
"3675",1376254560,64
"3665",1376258160,64.9
"3663",1376261760,64.9
"3661",1376265360,64.9
"3659",1376268960,63
"3656",1376272560,61
"3653",1376276160,57.9
"3651",1376279760,57
"3649",1376283360,57
"3673",1376286960,57
"3670",1376290560,57
"3642",1376294160,57
"3648",1376297760,57.9
"3640",1376301360,57.9
"3638",1376304960,57.9
"3636",1376308560,57.9
"3634",1376312160,57.9
"3632",1376315760,57
"3630",1376317200,57.2
"3629",1376319360,59
"3627",1376322960,61
"3625",1376326560,63
"3646",1376330160,64.9
"3644",1376333760,66.9
"3641",1376337360,70
"3647",1376340960,70
"3639",1376344560,71.1
"3637",1376348160,71.1
"3635",1376351760,66.9
"3633",1376355360,64
"3631",1376358960,60.1
"3628",1376362560,57.9
"3626",1376366160,55.9
"3624",1376369760,57
"3645",1376373360,57
"3643",1376376960,57
"3617",1376380560,57
"3623",1376384160,57
"3615",1376387760,57
"3613",1376391360,57
"3611",1376394960,55
"3609",1376398560,55
